"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","32.655252482","No"
"0x004c89e3f44725c95c8d52e0f5b4442c1fa67eec","6771.250504837","No"
"0x004e6d768a86c77ba008393a8b48548856ccd561","90.700931034","No"
"0x00d6ad895740c0a461a271e1b18b6ec7a927b270","2.990280583","No"
"0x00ea0f54674c82af4922234e3921270b17c8cbab","43.682232854","No"
"0x015a978d221575ae92b1e879cd6d51bda264c281","707.848637665","No"
"0x01afb7183e4992214a09dc497ffe39abf93c29bb","483.626913969","No"
"0x024471784ce54b64eaaf332833dc9cbfd29bbf70","452.915665234","No"
"0x02a35be0b9008aba78e22e5193f30e9096dc3069","0.025883446","No"
"0x02a546d33da5cb2df17291f0bd378beb0c339bf4","18.238636916","No"
"0x038173cdd584df8037ea0126559cd3e1daba0c35","594.913272065","No"
"0x03ce7ea94a110b262ea76c8bb7ff7cb170d7cea7","139.011581705","No"
"0x0441107d70e2df58a767ad6553f5b1e4df7bebce","85.093662023","No"
"0x04d7e613fb36357f1f5e587672792ddd336d1b1a","113.167451855","No"
"0x056295bd5030fa78eb70d366e9a88c1ac6813652","430.838644932","No"
"0x06019150e8b18d88b7654aed80fbc10490724eea","24.258588123","No"
"0x061a7c46c58fadcd60f940ef3cc8a270f52a88e5","2607.031966637","No"
"0x063481cb630bedd98a59aa1313e17d8f23403049","2349.365600674","No"
"0x06558b26a17ef8f903bbdaee672fa007b414e891","29.125420214","No"
"0x07255a325762a65c8a1d30a39121bb65cf8cbb69","2401.20832894","No"
"0x07a660597439ccd11c17310d133d215d0d1ce498","435.791118823","No"
"0x07e4d29472656fe72fcb2a4d1f9170543e01f8b7","0.240717652","No"
"0x08957d77fdd71407f08b7d2c6733c9bd5009526c","1434.405611878","No"
"0x09260890ddfe71223c8522534cc37d605dd81d6a","91.873039311","No"
"0x0957f6e74438767ca0ea3530609d01368ed83cff","3.541540461","No"
"0x096a765b1bb73c6924d2975744a3fec62b989da8","260.017515333","No"
"0x096d03625b51785d8815439bf615de84b67ed785","2150.024832465","No"
"0x09feee839337b8b1f1b3cb7b7391e0ae78a46351","179.687422341","No"
"0x0a1b4accb6d518f8a32a25e9372fd300bbd657a9","69.541330106","No"
"0x0a55ee9fa89edb0154c58213bd3c71929e42a656","831.526345035","No"
"0x0aaebdee59231a121ccde838b98536f4b646b88c","82.552059059","No"
"0x0c863259af7177b014432a3217ca7ab585c40fb7","1331.681649449","No"
"0x0ceff680560c9d2de792491f504de79c46834a5f","282.96997491","No"
"0x0d1041bb1dec07f1e37c5bfbe0e8d697a6e7f8d0","233.832433206","No"
"0x0d1bc70b5c33544f4d78da06345e69d305a8a22b","149.423491284","No"
"0x0d5c36939c1d1df3a8dd9272484446aa29acacbd","1904.828599763","No"
"0x0e046d50238dd5941df84d83856f9e07ff4adaf7","0.813870112","No"
"0x0e44ccebe5c4b5463291882d04c5a4af1c2c04be","2997.323522087","No"
"0x0e8d4f1348a16cb97ad1b5bc25f0319cc2b2483f","0.094237006","No"
"0x0efe4127854207fb60c1b2b3cff315aed2669bcc","0.288135363","No"
"0x0f8982e18ee2cbd0445120a1e0eef44db576ea19","125.133060947","No"
"0x0fb122228d710ea0d49d914ed702660663c6b81f","202.649262784","No"
"0x1081f648e31c7df21db9aa002c3b857bdb39aff5","237.075298691","No"
"0x10b928f42b3c211da0615f122a8e6da68a6b6aaa","215.465346718","No"
"0x10db4b6aba0465657646011f2974c50e750fbdab","38.799923916","No"
"0x10e8d5aef03bd76cdba03636c93d6f0e74377f5f","25.035961425","No"
"0x11c292b8d94231e2e5dafca342cc298981c4f935","696.576284285","No"
"0x12350cf75ba735e590f1dc946a7c53badfe180ec","1.984672764","No"
"0x1235feacbf40ebf39fcad864e42830a53617d410","695.838764013","No"
"0x129c0b720d56e4623eba27ccf7a39bfa41e8a033","204.367677726","No"
"0x1358c385c347ddbd01e12f1d6db5ee58bb8f3119","614.29640218","No"
"0x1381884b022e296e3bd5b1597be4af422af87fed","779.806678753","No"
"0x138cda1057de396f56cdff50a9267bbd4ac75b8e","113.255503978","No"
"0x1432498db9a69483896e7a07a0e901246524cbf0","42.787628096","No"
"0x174e301e6f4dfea37b23d8642aa269c53b0a4332","101.477381173","No"
"0x17a80be37a0e429efb3824aaed3f7ea6e82fef80","526.058063852","No"
"0x181200d7baf7acac66334ec79f848585ddc76aac","476.04281629","No"
"0x1867d74220a585139bc8ed364a7d330e66952bb1","3327.130475137","No"
"0x193a9ad735ad66454c0dc147f90309aad7268f0c","125.077102727","No"
"0x19c90d2a9cc9025d3af5854a4febce26787017fd","122.949479584","No"
